datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipcover,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,conditions,icon
01-01-2014,25,12,18.5,25,12,18.5,12.5,71.4,0,0,14.8,335.2,1015.5,0,1.6,182.8,15.7,7,Clear,clear-day
02-01-2014,26,13,19.5,26,13,19.5,14.3,74.4,0,0,14.8,350.6,1015.5,0,1.9,181.7,15.6,7,Clear,clear-day
03-01-2014,23,15,18.1,23,15,18.1,13.3,75,0,0,18.4,354.1,1015.9,2.8,1.8,177.8,15.2,7,Clear,clear-day
04-01-2014,23,12,16.5,23,12,16.5,9.9,67.9,0,0,16.6,340.5,1014.5,0,2.3,186.8,16,7,Clear,clear-day
05-01-2014,25,12,17.3,25,12,17.3,11.3,70.4,0,0,14.8,305.4,1012.3,0,1.7,175.7,15.2,7,Clear,clear-day
06-01-2014,23,15,17.9,23,15,17.9,13.4,76.8,0,0,14.8,347.1,1013,32.1,1.5,164.7,14.2,6,Partially cloudy,partly-cloudy-day
07-01-2014,23,14,17.8,23,14,17.8,13.2,76.3,0,0,11.2,1.7,1014.9,11.8,1.7,167.4,14.4,6,Clear,clear-day
08-01-2014,23,12,16.5,23,12,16.5,9.5,67,0,0,13,353.7,1016.3,0,2.3,195.7,16.8,7,Clear,clear-day
09-01-2014,24,9,16.3,24,9,16.3,9.3,67.4,0,0,14.8,335.8,1014.8,0,2,191.3,16.5,7,Clear,clear-day
10-01-2014,24,10,16.8,24,10,16.8,11,72.2,0,0,14.8,13.7,1014.6,12.5,1.9,187.3,16.1,7,Clear,clear-day
11-01-2014,26,12,18.2,26,12,18.2,12.8,73.5,0,0,13,12.5,1015.2,0,1.9,186.3,16.1,7,Clear,clear-day
12-01-2014,23,16,18.7,23,16,18.7,14,75.5,0,0,11.2,350.5,1016.7,28.5,2.2,154,13.2,6,Partially cloudy,partly-cloudy-day
13-01-2014,24,14,18.3,24,14,18.3,13.9,77,0,0,16.6,346.6,1016.7,12,1.9,182.5,15.8,7,Clear,clear-day
14-01-2014,23,14,17,23,14,17,13.8,82.9,0,0,14.8,340,1015.3,5.3,1.8,185,15.8,7,Clear,clear-day
15-01-2014,18,12,14.4,18,12,14.4,12.8,90.3,0,0,13,354.9,1016.4,21.8,1.4,182.7,15.7,7,Partially cloudy,partly-cloudy-day
16-01-2014,19,12,15.1,19,12,15.1,12.6,85.4,0,0,11.2,5.6,1017.2,23.1,1.7,183.3,16,7,Partially cloudy,partly-cloudy-day
17-01-2014,24,13,17.2,24,13,17.2,13.9,82,0,0,13,0.4,1017.1,28.3,1.5,190.2,16.3,7,Partially cloudy,partly-cloudy-day
18-01-2014,27,11,18.8,27,11,18.8,13.4,74.2,0,0,11.2,30.7,1017.1,0,1.7,198.9,17.1,7,Clear,clear-day
19-01-2014,28,14,20.1,27.6,14,20.1,14.2,72,0,0,10.4,315.9,1017.9,3.3,2.1,184.8,15.9,7,Clear,clear-day
20-01-2014,23,15,18.8,23,15,18.8,14.7,77.7,0,0,16.6,4.8,1019.2,0,1.8,183,15.8,7,Clear,clear-day
21-01-2014,22,13,16.4,22,13,16.4,13.1,81.8,0,0,13,1.6,1018.8,11.7,1.8,206.5,17.8,8,Clear,clear-day
22-01-2014,24,12,17.2,24,12,17.2,11.9,74.8,0,0,10.8,8.8,1017.5,34,1.7,209.6,18.1,8,Partially cloudy,partly-cloudy-day
23-01-2014,27,12,18.7,26.3,12,18.6,10.4,64.3,0,0,9.4,318.3,1016.1,4.2,2,207.7,17.9,8,Clear,clear-day
24-01-2014,26,14,19,26,14,19,14.3,75.7,0,0,11.2,342.6,1015,0,2,198.7,17.1,7,Clear,clear-day
25-01-2014,27,15,20.1,27.1,15,20.1,14,70.2,0,0,16.6,343.8,1014.4,9.6,2.5,207.3,17.8,8,Clear,clear-day
26-01-2014,25,14,19.3,25,14,19.3,13.1,69.7,0,0,18.4,357.9,1015.5,1.2,3.1,220.5,19.1,8,Clear,clear-day
27-01-2014,23,13,17.3,23,13,17.3,11.3,70.2,0,0,16.6,346.2,1015.7,2.3,2.3,211.8,18.3,8,Clear,clear-day
28-01-2014,22,11.3,15.8,22,11.3,15.8,11.4,76.2,0,0,18.4,0.4,1015.5,3.9,1.9,174.3,15.1,6,Clear,clear-day
29-01-2014,24,12,17.2,24,12,17.2,12.6,76.4,0,0,16.6,352.4,1015.7,0,2,200.6,17.5,7,Clear,clear-day
30-01-2014,26,13,18.7,26,13,18.7,13,72.9,0,0,14.8,353.4,1015.8,4.2,1.7,181.3,15.8,7,Clear,clear-day
31-01-2014,26,13,18.1,26,13,18.1,12.2,71.2,0,0,13,356.8,1016,0,2.1,213.4,18.4,8,Clear,clear-day
01-02-2014,27,14,18.6,26.8,14,18.6,13,72.3,0,0,14.8,346.3,1015.4,0,2.2,215.6,18.7,8,Clear,clear-day
02-02-2014,25,12,17.9,25,12,17.9,11.4,68.7,0,0,14.8,350.1,1013.9,0,2.3,228.1,19.8,8,Clear,clear-day
03-02-2014,27,12,18.2,26.4,12,18.2,10.1,63.9,0,0,13,352.3,1011.4,0,2.6,225.8,19.5,8,Clear,clear-day
04-02-2014,28,13,19.5,27.5,13,19.4,12.1,66.5,0,0,13,332.2,1009.3,0,2.1,225.5,19.3,8,Clear,clear-day
05-02-2014,30,14,21,28.8,14,20.8,14,69.3,0,0,13,289.7,1008.7,0,2,222,19.2,8,Clear,clear-day
06-02-2014,30,16,23.5,28.8,16,23.2,13.5,56.1,0,0,14.8,317.4,1009.5,0,2.8,221,19.1,8,Clear,clear-day
07-02-2014,31,17,23.7,30.1,17,23.4,14.4,60.8,0,0,11.2,259.6,1008.8,0,2.8,228.5,19.6,8,Clear,clear-day
08-02-2014,31,19,24.3,29.8,19,24.2,16.6,65.5,0,0,11.2,216.5,1006.5,13.4,2.3,210.5,18.1,8,Clear,clear-day
09-02-2014,31,19,23.9,29.8,19,23.7,16.3,66.8,0,0,14.8,1.4,1006.9,3.5,2.6,231.1,19.8,8,Clear,clear-day
10-02-2014,28,18,22.6,27.8,18,22.6,14.8,63.4,0,0,16.6,42.3,1008.9,18,2.7,217.3,18.9,8,Clear,clear-day
11-02-2014,27,17,21.5,27.3,17,21.6,15.2,69.2,0,0,13,8.4,1008.9,11,2.4,204.3,17.6,8,Clear,clear-day
12-02-2014,27,17,21.4,26.3,17,21.3,11,55.4,0,0,16.6,353.3,1010.1,0,3,211.9,18.3,8,Clear,clear-day
13-02-2014,27,14,20.4,26.7,14,20.3,11.6,60.1,0,0,16.6,52.4,1013.1,0,2.7,227.1,19.6,8,Clear,clear-day
14-02-2014,30,16,21.9,29.4,16,21.8,14,63,0,0,13,124,1012.3,6.3,2.5,223.1,19.4,8,Clear,clear-day
15-02-2014,26,18,21.6,26,18,21.6,16.4,73,1.3,8.33,18.4,50.8,1010.8,43.5,1.9,218.2,18.8,8,Rain  & Partially cloudy,rain
16-02-2014,20,18,19,20,18,19,17.4,90.9,31,20.83,18.4,117.6,1010.8,87.1,1.7,78,6.6,3,Rain & Partially cloudy,rain
17-02-2014,24,16,19.3,24,16,19.3,14.8,77.6,3,4.17,20.5,319.4,1013.2,46,2.8,225.3,19.5,8,Rain & Partially cloudy,rain
18-02-2014,24,11.4,18.1,24,11.4,18.1,9.5,61,0,0,14.8,343.8,1016.5,0,2.9,256.6,22.3,9,Clear,clear-day
19-02-2014,25,14,19,25,14,19,11.7,65.4,0,0,16.6,346.9,1014.8,0,2.8,227.3,19.8,8,Clear,clear-day
20-02-2014,26,14,19.5,26,14,19.5,11.4,64.1,0,0,13,331.8,1013.4,0,2.4,240.4,20.8,8,Clear,clear-day
21-02-2014,28,15,21,27.8,15,20.9,14.2,69.3,0,0,11.2,131,1013.8,0,1.9,231,20.1,8,Clear,clear-day
22-02-2014,30,16,22.8,29.4,16,22.7,15.9,69.2,0,0,11.1,167.3,1014.5,0,2,232.5,20.2,8,Clear,clear-day
23-02-2014,29,18,23.1,29.1,18,23.2,16.7,69.3,0,0,22.3,51.1,1015.3,25.4,2.5,170.1,14.7,7,Partially cloudy,partly-cloudy-day
24-02-2014,29,18,23.4,29.1,18,23.5,17,69.5,0,0,9.4,13.5,1015.5,21.8,2.9,223.4,19.4,8,Partially cloudy,partly-cloudy-day
